"stopTag","stopName","latitude","longitude","routeTags"
"2421","Birchmount Rd At Huntingwood Dr","43.7906","-79.30249","17"
"8863","Albion Rd At Todd Brook Dr East Side","43.7381","-79.57125","73"
"1264","Carlingview Dr At Worcester Rd South Side","43.69324","-79.59861","112"
"1104","Ellesmere Rd At Markham Rd","43.77667","-79.23129","133,38,995,95,395"
"5362","Markham Rd At Opposite Walkway To Clandfield St","43.85919","-79.2566","102"
"585","Morning Star Dr At Airport Rd East Side","43.70999","-79.64977","52"
"8055","Grantbrook St At Finch Ave West","43.77643","-79.43186","98"
"1896","Thistle Down Blvd At Thistle Down Blvd North Side","43.73826","-79.5562","118"
"3575","Queen St West At Bay St","43.65171","-79.38215","301,501"
"6128","Opposite 3200 Pharmacy Ave At Walkway To Deerbrook Trail","43.80011","-79.32879","167"
"1875","Arleta Ave At Tina Crt","43.74361","-79.50144","108"
"1632","Sheppard Ave West At Kodiak Cres (South)","43.75187","-79.46692","106,107,108,84,384"
"3407","Martin Ross Ave At Brisbane Rd (West)","43.77342","-79.47688","107"
"5674","Brimley Rd At Huntingwood Dr","43.79823","-79.27312","21"
"10271","Victoria Park Ave At Eglinton Ave East North Side","43.72537","-79.30276","24,324,70,924"
"9349","Steeles Ave East At Kennedy Rd","43.82349","-79.30733","353,953,53"
"4343","Meadowvale Loop At Sheppard Ave East","43.80915","-79.17072","385,985,986,85,86,395"
"24446","Davenport Rd At Shaw St","43.67484","-79.42802","127"
"1304","Senlac Rd At Sheppard Ave West","43.75933","-79.42281","98"
"10106","Birchmount Rd At Bertrand Ave","43.73511","-79.2797","17"
"3338","Symington Ave At Paton Rd","43.65945","-79.44854","168"
"8686","Queen St West At Shaw St","43.64479","-79.41615","301,501"
"8314","Secord Ave At Palmer Ave East Side","43.69301","-79.30046","87"
"3694","Dundas St West At Indian Road Cres","43.66516","-79.46127","312,40"
"1238","McCowan Rd At Middlefield Rd","43.79853","-79.26229","302,129,130"
"8748","Lawson Rd At Meadowvale Rd West Side","43.78529","-79.16109","38"
"3296","Marine Parade Dr Loop At Lake Shore Blvd West","43.62255","-79.48091","66,176"
"6877","The Queensway At Glendale Ave - St Joseph'S Health Centre","43.6393","-79.45107","301,501,508"
"6825","Dufferin St At Dolomite Dr","43.78069","-79.46963","105,329"
"9543","Bayview Ave At Bayview Ridge Cres","43.74234","-79.38316","11"
"372","Albion Rd At Islington Ave","43.73729","-79.56505","73"
"6604","Annette St At Runnymede Rd","43.66016","-79.47979","26"
"3369","Opposite 35 Oak St","43.7086","-79.53004","59"
