"stopTag","latitude","longitude","routeTags"
"3125","43.74179","-79.40605","320,97"
"6155","43.79401","-79.2236","132"
"9820","43.70331","-79.53193","73"
"14225_ar","43.65543","-79.45959","941,41"
"14575","43.81816","-79.33696","167"
"1529","43.69161","-79.26466","12,69,302"
"8744","43.77063","-79.49981","341,353,335,41"
"8389","43.69416","-79.53168","73"
"8450","43.739788","-79.29261","68"
"24496","43.83822","-79.24387","353,53"
"14401","43.64535","-79.36568","75"
"346_ar","43.60078","-79.50643","337"
"4740","43.67016","-79.46667","341,89,41"
"7861","43.63756","-79.50083","66"
"3010","43.70458","-79.29623","23"
"3567","43.67168","-79.32417","306,505,506"
"8922_IB","43.69112","-79.59765","112"
"9247","43.75814","-79.23268","354,54"
"3489","43.71042","-79.41126","61"
"15075","43.651268","-79.35788","121"
"960","43.71622","-79.44437","352,52"
"4024","43.76194","-79.40841","385,85,98"
"7567","43.69001","-79.50083","32"
"8835","43.75172","-79.49597","106"
"9059","43.73573","-79.46457","184"
"7166","43.62577","-79.48578","66"
"6875","43.84901","-79.27949","129"
"5739","43.77048","-79.44229","7,307,160"
"5946","43.78123","-79.29789","385,985,85"
"6519","43.75487","-79.34094","91"
"7602","43.66451","-79.43068","161"
"6940","43.76993","-79.17977","354,954,86,54"
"8909","43.68871","-79.4128","33"
"14837","43.63923","-79.44617","304,504"
"4541","43.66976","-79.43286","161"
"1663","43.69977","-79.3196","8,70"
"9784","43.69451","-79.44984","929,29,329"
"6820","43.71872","-79.30028","24,324"
"6427","43.7705","-79.38879","11"
"5455","43.75225","-79.5991","396,46,927"
"4705","43.67945","-79.31299","306,506"
"4565","43.80705","-79.31057","17"
"5331","43.72771","-79.56925","396,96"
"1522","43.66165","-79.57873","112"
"15233","43.85209","-79.32546","17"
"6856","43.68406","-79.48488","71"
"3013","43.75017","-79.32623","91"
"5584","43.63935","-79.47365","77"
"4404","43.74223","-79.56773","37,337,937"
"2663","43.80742","-79.31586","42"
"9643","43.7835","-79.40804","98"
"1656","43.68876","-79.42069","7,307"
"24597_ar","43.67221","-79.4714","512"
"7685","43.7435","-79.62084","96"
"3281","43.67009","-79.31123","322,503"
"1348","43.81348","-79.23171","134"
"4720","43.68759","-79.27101","12,302"
"284","43.69166","-79.3038","62"
"24633","43.68371","-79.41511","33,126,512"
"14250","43.71567","-79.4437","109"
"858","43.73439","-79.45267","105,107,108,329"
"14215_ar","43.65397","-79.46635","30"
"794","43.66293","-79.33282","83"
"3962","43.66172","-79.37962","306,506"
"7500","43.66201","-79.48073","79,71"
"2439","43.64905","-79.37775","320"
"6448","43.70717","-79.45267","14"
"6481","43.7595","-79.4227","98"
"2812","43.71385","-79.41173","61"
"1952","43.71033","-79.50013","59"
"24096","43.62393","-79.55941","123"
"2899","43.73922","-79.44756","104"
"336","43.69956","-79.43255","332"
"5658","43.787918","-79.20811","133,334"
"2351","43.70947","-79.44115","14"
"623","43.76862","-79.4673","36,336,939"
"10483","43.81677","-79.22443","133,353,39,939"
"23917","43.70331","-79.36077","56"
"7266","43.72535","-79.26516","113"
"6056","43.74439","-79.48884","106,108,84,384"
"7614","43.66503","-79.3847","320,97"
"1967","43.70314","-79.46438","47"
"8920","43.65803","-79.38978","13"
"4979","43.64853","-79.38012","19,97"
"739","43.73575","-79.32708","91"
"7213","43.66782","-79.45219","168"
"780_IB","43.81953","-79.23309","134"
"3690_ar","43.59428","-79.51684","44,944"
"6506","43.6566","-79.42365","363,63"
"7793","43.70661","-79.2949","24,324"
"2958","43.65056","-79.45506","506"
"8251","43.67967","-79.32198","22,322"
"24283","43.73913","-79.59296","396,46,927"
"1050","43.77673","-79.43179","98"
"7674","43.81439","-79.22655","133,334"
"7696","43.60183","-79.54543","123,315"
"6999","43.79424","-79.41222","98"
"8486","43.76724","-79.38511","385,85"
"6727","43.75221","-79.27568","343,43"
"5295","43.66241","-79.42334","300"
"7875","43.69426","-79.30863","62"
"23867","43.75417","-79.48049","984,106,107,108,84,384"
"9983","43.62381","-79.51502","110,337"
"10132","43.67676","-79.50579","79"
"4425","43.67085","-79.29593","301,501"
"9291","43.75788","-79.31461","995,996,95,395"
"9024","43.64369","-79.50344","66"
"14643","43.70071","-79.46973","59"
"2196","43.6569","-79.57728","112"
"5433","43.65022","-79.36769","75"
"6319","43.64976","-79.39119","301,501"
"7738","43.71875","-79.25863","300,16"
"9562","43.73757","-79.34112","354,54"
"540","43.60973","-79.55844","123"
"7595","43.75493","-79.45352","104"
"6258","43.76797","-79.55814","960,60"
"2689","43.68644","-79.45952","47"
"4049","43.7865","-79.18903","38,995,95,395"
"24095","43.62392","-79.55974","123"
"7742","43.78058","-79.41221","39,339"
"15248_ar","43.72868","-79.60506","996"
"1035","43.69969","-79.58563","45"
"6959_ar","43.81443","-79.21354","132"
"791_IB","43.82477","-79.22665","133"
"5457","43.80706","-79.35704","25,325"
"2118","43.832508","-79.26763","130"
"5402","43.75522","-79.61449","960,60"
"3134","43.80137","-79.29696","343,43"
"8659","43.78242","-79.32626","24,169"
"8374","43.78353","-79.23162","134,102,913"
